Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%).1,Imports ($M),RtW (%).2,Net Exports ($M),Exports Ticker,Imports Ticker,country,year
Kazakhstan,4308.66,0.43,1062.31,0.2,3246.35,0.68,-2184.04,916D1136 Index,136D1916 Index,Italy,2014
Norway,4304.4,0.43,2737.49,0.53,1566.91,0.33,1170.58,142D1136 Index,136D1142 Index,Italy,2014
Israel,3992.07,0.4,2783.7,0.53,1208.37,0.25,1575.33,436D1136 Index,136D1436 Index,Italy,2014
Thailand,3678.56,0.37,1943.02,0.37,1735.54,0.37,207.48,578D1136 Index,136D1578 Index,Italy,2014
Finland,3625.53,0.36,1770.89,0.34,1854.64,0.39,-83.75,172D1136 Index,136D1172 Index,Italy,2014
Morocco,3216.54,0.32,2280.04,0.44,936.5,0.2,1343.54,686D1136 Index,136D1686 Index,Italy,2014
Qatar,3088.78,0.31,1491.83,0.29,1596.95,0.34,-105.12,453D1136 Index,136D1453 Index,Italy,2014
Chile,2893.64,0.29,1269.52,0.24,1624.12,0.34,-354.6,228D1136 Index,136D1228 Index,Italy,2014
Argentina,2780.14,0.28,1612.35,0.31,1167.79,0.25,444.56,213D1136 Index,136D1213 Index,Italy,2014
Albania,2715.18,0.27,1556.87,0.3,1158.31,0.24,398.56,914D1136 Index,136D1914 Index,Italy,2014
Malaysia,2685.85,0.27,1783.08,0.34,902.77,0.19,880.31,548D1136 Index,136D1548 Index,Italy,2014
Lithuania,2283.41,0.23,1725.6,0.33,557.81,0.12,1167.79,946D1136 Index,136D1946 Index,Italy,2014
Colombia,2277.8,0.23,982.27,0.19,1295.53,0.27,-313.26,233D1136 Index,136D1233 Index,Italy,2014
Nigeria,2129.45,0.21,795.04,0.15,1334.41,0.28,-539.37,694D1136 Index,136D1694 Index,Italy,2014
Bosnia and Herzegovina,1963.12,0.2,1121.67,0.22,841.45,0.18,280.22,963D1136 Index,136D1963 Index,Italy,2014
Malta,1848.63,0.19,1556.93,0.3,291.7,0.06,1265.23,181D1136 Index,136D1181 Index,Italy,2014
Luxembourg,1798.67,0.18,557.29,0.11,1241.38,0.26,-684.09,137D1136 Index,136D1137 Index,Italy,2014
Angola,1740.48,0.17,493.17,0.09,1247.31,0.26,-754.14,614D1136 Index,136D1614 Index,Italy,2014
Bangladesh,1719.77,0.17,311.88,0.06,1407.89,0.3,-1096.01,513D1136 Index,136D1513 Index,Italy,2014
Lebanon,1687.96,0.17,1648.29,0.32,39.67,0.01,1608.62,446D1136 Index,136D1446 Index,Italy,2014
Iran,1589.88,0.16,1014.22,0.19,575.66,0.12,438.56,429D1136 Index,136D1429 Index,Italy,2014
Kuwait,1413.99,0.14,1171.4,0.22,242.59,0.05,928.81,443D1136 Index,136D1443 Index,Italy,2014
Peru,1387.84,0.14,687.46,0.13,700.38,0.15,-12.92,293D1136 Index,136D1293 Index,Italy,2014
Belarus,1362.31,0.14,1166.63,0.22,195.68,0.04,970.95,913D1136 Index,136D1913 Index,Italy,2014
Pakistan,1210.1,0.12,469.1,0.09,741.0,0.16,-271.9,564D1136 Index,136D1564 Index,Italy,2014
New Zealand,1119.7,0.11,771.05,0.15,348.65,0.07,422.4,196D1136 Index,136D1196 Index,Italy,2014
Congo,1079.12,0.11,212.35,0.04,866.78,0.18,-654.43,634D1136 Index,136D1634 Index,Italy,2014
Venezuela,1038.27,0.1,926.59,0.18,111.69,0.02,814.9,299D1136 Index,136D1299 Index,Italy,2014
Ecuador,864.55,0.09,326.09,0.06,538.46,0.11,-212.37,248D1136 Index,136D1248 Index,Italy,2014
Latvia,862.14,0.09,714.94,0.14,147.2,0.03,567.74,941D1136 Index,136D1941 Index,Italy,2014
Ghana,861.63,0.09,147.64,0.03,713.98,0.15,-566.34,652D1136 Index,136D1652 Index,Italy,2014
Macedonia,791.29,0.08,459.16,0.09,332.13,0.07,127.03,962D1136 Index,136D1962 Index,Italy,2014
Sri Lanka,790.9,0.08,264.98,0.05,525.92,0.11,-260.94,524D1136 Index,136D1524 Index,Italy,2014
Macau,779.58,0.08,776.94,0.15,2.64,0.0,774.3,546D1136 Index,136D1546 Index,Italy,2014
Jordan,766.5,0.08,698.68,0.13,67.82,0.01,630.86,439D1136 Index,136D1439 Index,Italy,2014
Turkmenistan,757.95,0.08,226.61,0.04,531.34,0.11,-304.73,925D1136 Index,136D1925 Index,Italy,2014
"Congo, Democratic Republic",717.43,0.07,94.87,0.02,622.56,0.13,-527.69,636D1136 Index,136D1636 Index,Italy,2014
Moldova,699.3,0.07,352.41,0.07,346.89,0.07,5.52,921D1136 Index,136D1921 Index,Italy,2014
Ethiopia,684.15,0.07,609.0,0.12,75.15,0.02,533.85,644D1136 Index,136D1644 Index,Italy,2014
Estonia,650.65,0.07,511.26,0.1,139.39,0.03,371.87,939D1136 Index,136D1939 Index,Italy,2014
Philippines,637.37,0.06,389.0,0.07,248.37,0.05,140.63,566D1136 Index,136D1566 Index,Italy,2014
Oman,624.99,0.06,572.9,0.11,52.09,0.01,520.8,449D1136 Index,136D1449 Index,Italy,2014
Cameroon,601.78,0.06,133.71,0.03,468.07,0.1,-334.36,622D1136 Index,136D1622 Index,Italy,2014
Cote D Ivoire,573.53,0.06,234.66,0.05,338.87,0.07,-104.2,662D1136 Index,136D1662 Index,Italy,2014
Cyprus,570.02,0.06,485.34,0.09,84.69,0.02,400.65,423D1136 Index,136D1423 Index,Italy,2014
Mozambique,533.79,0.05,93.58,0.02,440.21,0.09,-346.63,688D1136 Index,136D1688 Index,Italy,2014
Paraguay,508.64,0.05,83.73,0.02,424.91,0.09,-341.18,288D1136 Index,136D1288 Index,Italy,2014
Gabon,495.66,0.05,147.4,0.03,348.27,0.07,-200.87,646D1136 Index,136D1646 Index,Italy,2014
Panama,478.85,0.05,442.1,0.08,36.75,0.01,405.35,283D1136 Index,136D1283 Index,Italy,2014
Costa Rica,454.93,0.05,206.52,0.04,248.42,0.05,-41.9,238D1136 Index,136D1238 Index,Italy,2014
Bahrain,441.0,0.04,343.91,0.07,97.09,0.02,246.82,419D1136 Index,136D1419 Index,Italy,2014
Uruguay,420.46,0.04,181.03,0.03,239.43,0.05,-58.4,298D1136 Index,136D1298 Index,Italy,2014
Cuba,386.02,0.04,357.77,0.07,28.25,0.01,329.52,928D1136 Index,136D1928 Index,Italy,2014
Georgia,348.2,0.03,221.77,0.04,126.43,0.03,95.34,915D1136 Index,136D1915 Index,Italy,2014
Cambodia,336.47,0.03,40.25,0.01,296.22,0.06,-255.97,522D1136 Index,136D1522 Index,Italy,2014
Kenya,335.22,0.03,223.13,0.04,112.09,0.02,111.04,664D1136 Index,136D1664 Index,Italy,2014
Mauritius,311.7,0.03,110.91,0.02,200.79,0.04,-89.88,684D1136 Index,136D1684 Index,Italy,2014
Dominican Republic,284.0,0.03,240.17,0.05,43.83,0.01,196.35,243D1136 Index,136D1243 Index,Italy,2014
Zambia,273.65,0.03,43.08,0.01,230.57,0.05,-187.48,754D1136 Index,136D1754 Index,Italy,2014
Bolivia,262.36,0.03,191.53,0.04,70.83,0.01,120.71,218D1136 Index,136D1218 Index,Italy,2014
Uzbekistan,255.39,0.03,207.41,0.04,47.98,0.01,159.42,927D1136 Index,136D1927 Index,Italy,2014
Mauritania,226.5,0.02,29.46,0.01,197.04,0.04,-167.57,682D1136 Index,136D1682 Index,Italy,2014
Armenia,218.41,0.02,179.97,0.03,38.44,0.01,141.54,911D1136 Index,136D1911 Index,Italy,2014
Iceland,214.7,0.02,165.49,0.03,49.22,0.01,116.27,176D1136 Index,136D1176 Index,Italy,2014
Guatemala,214.52,0.02,143.02,0.03,71.5,0.02,71.51,258D1136 Index,136D1258 Index,Italy,2014
Senegal,211.73,0.02,126.16,0.02,85.57,0.02,40.59,722D1136 Index,136D1722 Index,Italy,2014
Montenegro,205.67,0.02,154.18,0.03,51.5,0.01,102.68,943D1136 Index,136D1943 Index,Italy,2014
Chad,186.44,0.02,186.25,0.04,0.19,0.0,186.06,628D1136 Index,136D1628 Index,Italy,2014
Syria,184.6,0.02,162.27,0.03,22.33,0.0,139.94,463D1136 Index,136D1463 Index,Italy,2014
Sudan,170.49,0.02,146.11,0.03,24.38,0.01,121.73,732D1136 Index,136D1732 Index,Italy,2014
Uganda,153.43,0.02,37.44,0.01,115.99,0.02,-78.55,746D1136 Index,136D1746 Index,Italy,2014
Papua New Guinea,143.77,0.01,20.32,0.0,123.46,0.03,-103.14,853D1136 Index,136D1853 Index,Italy,2014
Myanmar,136.49,0.01,93.7,0.02,42.78,0.01,50.92,518D1136 Index,136D1518 Index,Italy,2014
Honduras,134.15,0.01,85.9,0.02,48.25,0.01,37.65,268D1136 Index,136D1268 Index,Italy,2014
Zimbabwe,127.29,0.01,11.77,0.0,115.52,0.02,-103.75,698D1136 Index,136D1698 Index,Italy,2014
Tanzania,119.82,0.01,79.66,0.02,40.16,0.01,39.5,738D1136 Index,136D1738 Index,Italy,2014
Peoples Democratic Republic of Yemen,113.57,0.01,101.17,0.02,12.4,0.0,88.77,474D1136 Index,136D1474 Index,Italy,2014
Tajikistan,107.13,0.01,38.05,0.01,69.08,0.01,-31.02,923D1136 Index,136D1923 Index,Italy,2014
Mongolia,101.11,0.01,45.01,0.01,56.1,0.01,-11.09,948D1136 Index,136D1948 Index,Italy,2014
Equatorial Guinea,100.38,0.01,99.12,0.02,1.26,0.0,97.87,642D1136 Index,136D1642 Index,Italy,2014
New Caledonia,92.5,0.01,81.14,0.02,11.35,0.0,69.79,839D1136 Index,136D1839 Index,Italy,2014
Madagascar,91.59,0.01,50.42,0.01,41.17,0.01,9.25,674D1136 Index,136D1674 Index,Italy,2014
El Salvador,91.21,0.01,65.31,0.01,25.9,0.01,39.42,253D1136 Index,136D1253 Index,Italy,2014
Seychelles,88.06,0.01,21.52,0.0,66.54,0.01,-45.02,718D1136 Index,136D1718 Index,Italy,2014
Nicaragua,85.84,0.01,36.28,0.01,49.56,0.01,-13.28,278D1136 Index,136D1278 Index,Italy,2014
Mali,70.26,0.01,55.78,0.01,14.48,0.0,41.3,678D1136 Index,136D1678 Index,Italy,2014
Burkina Faso,60.04,0.01,39.73,0.01,20.31,0.0,19.41,748D1136 Index,136D1748 Index,Italy,2014
Brunei Darussalam,59.0,0.01,57.35,0.01,1.65,0.0,55.7,516D1136 Index,136D1516 Index,Italy,2014
Benin,54.63,0.01,50.97,0.01,3.65,0.0,47.32,638D1136 Index,136D1638 Index,Italy,2014
Togo,47.38,0.0,33.41,0.01,13.97,0.0,19.44,742D1136 Index,136D1742 Index,Italy,2014
Malawi,46.46,0.0,23.1,0.0,23.37,0.0,-0.27,676D1136 Index,136D1676 Index,Italy,2014
Kyrgyzstan,45.41,0.0,26.15,0.01,19.26,0.0,6.89,917D1136 Index,136D1917 Index,Italy,2014
Solomon Islands,43.99,0.0,0.33,0.0,43.66,0.01,-43.33,813D1136 Index,136D1813 Index,Italy,2014
Maldives,41.2,0.0,29.59,0.01,11.61,0.0,17.98,556D1136 Index,136D1556 Index,Italy,2014
Nepal,35.31,0.0,23.35,0.0,11.97,0.0,11.38,558D1136 Index,136D1558 Index,Italy,2014
Guinea,32.81,0.0,27.95,0.01,4.86,0.0,23.08,656D1136 Index,136D1656 Index,Italy,2014
Somalia,32.63,0.0,32.09,0.01,0.55,0.0,31.54,726D1136 Index,136D1726 Index,Italy,2014
Liberia,32.47,0.0,28.24,0.01,4.24,0.0,24.0,668D1136 Index,136D1668 Index,Italy,2014
Jamaica,26.0,0.0,23.02,0.0,2.98,0.0,20.04,343D1136 Index,136D1343 Index,Italy,2014
Rwanda,24.21,0.0,22.45,0.0,1.75,0.0,20.7,714D1136 Index,136D1714 Index,Italy,2014
Djibouti,23.66,0.0,23.2,0.0,0.46,0.0,22.74,611D1136 Index,136D1611 Index,Italy,2014
Laos,23.19,0.0,4.46,0.0,18.72,0.0,-14.26,544D1136 Index,136D1544 Index,Italy,2014
Aruba,22.47,0.0,10.79,0.0,11.68,0.0,-0.89,314D1136 Index,136D1314 Index,Italy,2014
Niger,21.67,0.0,21.64,0.0,0.02,0.0,21.62,692D1136 Index,136D1692 Index,Italy,2014
Belize,19.29,0.0,1.0,0.0,18.28,0.0,-17.28,339D1136 Index,136D1339 Index,Italy,2014
Bahamas,17.38,0.0,12.54,0.0,4.85,0.0,7.69,313D1136 Index,136D1313 Index,Italy,2014
Afghanistan,17.22,0.0,10.33,0.0,6.89,0.0,3.43,512D1136 Index,136D1512 Index,Italy,2014
Haiti,15.86,0.0,12.92,0.0,2.94,0.0,9.98,263D1136 Index,136D1263 Index,Italy,2014
Barbados,15.07,0.0,14.33,0.0,0.74,0.0,13.59,316D1136 Index,136D1316 Index,Italy,2014
Cape Verde,14.47,0.0,10.62,0.0,3.86,0.0,6.76,624D1136 Index,136D1624 Index,Italy,2014
Fiji,13.25,0.0,13.16,0.0,0.08,0.0,13.08,819D1136 Index,136D1819 Index,Italy,2014
Central African Rep.,12.56,0.0,12.36,0.0,0.2,0.0,12.16,626D1136 Index,136D1626 Index,Italy,2014
Suriname,12.3,0.0,11.92,0.0,0.39,0.0,11.53,366D1136 Index,136D1366 Index,Italy,2014
Guyana,10.56,0.0,5.49,0.0,5.07,0.0,0.42,336D1136 Index,136D1336 Index,Italy,2014
Burundi,10.47,0.0,6.74,0.0,3.73,0.0,3.01,618D1136 Index,136D1618 Index,Italy,2014
Sierra Leone,6.45,0.0,5.42,0.0,1.03,0.0,4.39,724D1136 Index,136D1724 Index,Italy,2014
St. Vincent & Grens.,5.89,0.0,2.44,0.0,3.46,0.0,-1.02,364I1136 Index,136D1364 Index,Italy,2014
Gambia,4.9,0.0,2.16,0.0,2.74,0.0,-0.58,648D1136 Index,136D1648 Index,Italy,2014
Faeroe Islands,4.66,0.0,4.64,0.0,0.02,0.0,4.62,816D1136 Index,136D1816 Index,Italy,2014
Dominica,3.99,0.0,1.77,0.0,2.22,0.0,-0.45,321D1136 Index,136D1321 Index,Italy,2014
St. Lucia,3.06,0.0,2.73,0.0,0.33,0.0,2.39,362D1136 Index,136D1362 Index,Italy,2014
Greenland,2.85,0.0,2.85,0.0,0.0,0.0,2.85,326D1136 Index,136D1326 Index,Italy,2014
Grenada,2.02,0.0,1.99,0.0,0.02,0.0,1.97,328D1136 Index,136D1328 Index,Italy,2014
North Korea,1.85,0.0,1.28,0.0,0.56,0.0,0.72,954D1136 Index,136D1954 Index,Italy,2014
Vanuatu,0.76,0.0,0.75,0.0,0.0,0.0,0.75,846D1136 Index,136D1846 Index,Italy,2014
Sao Tome & Principe,0.41,0.0,0.29,0.0,0.13,0.0,0.16,716D1136 Index,136D1716 Index,Italy,2014
Samoa,0.4,0.0,0.39,0.0,0.0,0.0,0.39,862D1136 Index,136D1862 Index,Italy,2014
Comoros,0.33,0.0,0.1,0.0,0.24,0.0,-0.14,632D1136 Index,136D1632 Index,Italy,2014
Bermuda,0.18,0.0,0.15,0.0,0.03,0.0,0.11,319D1136 Index,136D1319 Index,Italy,2014
Guinea-Bissau,0.08,0.0,0.0,0.0,0.08,0.0,-0.08,654D1136 Index,136D1654 Index,Italy,2014
Tonga,0.03,0.0,0.03,0.0,0.0,0.0,0.03,866D1136 Index,136D1866 Index,Italy,2014
Netherlands Antilles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353D1136 Index,136D1353 Index,Italy,2014
European Union,443458.0,50.86,214904.0,46.61,228554.0,55.62,-13650.0,998D1136 Index,136D1998 Index,Italy,2015
Germany,118721.6,13.62,54856.3,11.9,63865.3,15.54,-9009.0,134D1136 Index,136D1134 Index,Italy,2015
France,79638.1,9.13,43964.0,9.54,35674.1,8.68,8289.9,132D1136 Index,136D1132 Index,Italy,2015
United States,59765.0,6.85,44014.6,9.55,15750.4,3.83,28264.2,111D1136 Index,136D1111 Index,Italy,2015
China,48152.6,5.52,16784.7,3.64,31367.9,7.63,-14583.2,924D1136 Index,136D1924 Index,Italy,2015
Spain,40653.0,4.66,20051.5,4.35,20601.5,5.01,-550.0,184D1136 Index,136D1184 Index,Italy,2015
United Kingdom,36123.8,4.14,24062.8,5.22,12061.0,2.94,12001.8,112D1136 Index,136D1112 Index,Italy,2015
Belgium,33405.4,3.83,14412.4,3.13,18993.0,4.62,-4580.6,124D1136 Index,136D1124 Index,Italy,2015
Netherlands,33019.4,3.79,10212.9,2.22,22806.5,5.55,-12593.6,138D1136 Index,136D1138 Index,Italy,2015
Switzerland,31417.3,3.6,19480.7,4.23,11936.6,2.9,7544.1,146D1136 Index,136D1146 Index,Italy,2015
Russia,24303.78,2.79,8322.58,1.81,15981.2,3.89,-7658.62,922D1136 Index,136D1922 Index,Italy,2015
Poland,19890.36,2.28,10376.1,2.25,9514.26,2.32,861.84,964D1136 Index,136D1964 Index,Italy,2015
Austria,19150.83,2.2,9741.96,2.11,9408.87,2.29,333.09,122D1136 Index,136D1122 Index,Italy,2015
Turkey,18711.43,2.15,11342.9,2.46,7368.53,1.79,3974.37,186D1136 Index,136D1186 Index,Italy,2015
Romania,14714.73,1.69,7592.41,1.65,7122.32,1.73,470.09,968D1136 Index,136D1968 Index,Italy,2015
Czech Republic,11635.84,1.33,5493.49,1.19,6142.35,1.49,-648.86,935D1136 Index,136D1935 Index,Italy,2015
Japan,10982.7,1.26,7522.87,1.63,3459.83,0.84,4063.04,158D1136 Index,136D1158 Index,Italy,2015
South Korea,9371.04,1.07,5824.91,1.26,3546.13,0.86,2278.78,542D1136 Index,136D1542 Index,Italy,2015
Hungary,9111.15,1.04,4168.26,0.9,4942.89,1.2,-774.63,944D1136 Index,136D1944 Index,Italy,2015
Saudi Arabia,9006.91,1.03,5289.26,1.15,3717.65,0.9,1571.61,456D1136 Index,136D1456 Index,Italy,2015
India,8553.55,0.98,4113.89,0.89,4439.66,1.08,-325.77,534D1136 Index,136D1534 Index,Italy,2015
Brazil,8517.61,0.98,4966.05,1.08,3551.56,0.86,1414.49,223D1136 Index,136D1223 Index,Italy,2015
Sweden,8440.29,0.97,4570.29,0.99,3870.0,0.94,700.29,144D1136 Index,136D1144 Index,Italy,2015
Algeria,7989.51,0.92,4638.58,1.01,3350.93,0.82,1287.65,612D1136 Index,136D1612 Index,Italy,2015
Canada,7730.76,0.89,6110.32,1.33,1620.44,0.39,4489.88,156D1136 Index,136D1156 Index,Italy,2015
Slovenia,7026.44,0.81,4108.55,0.89,2917.89,0.71,1190.66,961D1136 Index,136D1961 Index,Italy,2015
Greece,6856.94,0.79,4034.97,0.88,2821.97,0.69,1213.0,174D1136 Index,136D1174 Index,Italy,2015
Mexico,6768.12,0.78,5365.78,1.16,1402.34,0.34,3963.44,273D1136 Index,136D1273 Index,Italy,2015
Hong Kong,6738.54,0.77,6392.02,1.39,346.52,0.08,6045.5,532D1136 Index,136D1532 Index,Italy,2015
United Arab Emirates,6446.77,0.74,5501.74,1.19,945.03,0.23,4556.71,466D1136 Index,136D1466 Index,Italy,2015
Slovakia,6013.64,0.69,2583.24,0.56,3430.4,0.83,-847.16,936D1136 Index,136D1936 Index,Italy,2015
Ireland,5728.29,0.66,1166.84,0.25,4561.45,1.11,-3394.61,178D1136 Index,136D1178 Index,Italy,2015
Libya,5588.28,0.64,1794.81,0.39,3793.47,0.92,-1998.66,672D1136 Index,136D1672 Index,Italy,2015
Tunisia,5562.29,0.64,3013.97,0.65,2548.32,0.62,465.65,744D1136 Index,136D1744 Index,Italy,2015
Denmark,5422.45,0.62,3019.14,0.65,2403.31,0.58,615.83,128D1136 Index,136D1128 Index,Italy,2015
Azerbaijan,5389.01,0.62,587.77,0.13,4801.24,1.17,-4213.47,912D1136 Index,136D1912 Index,Italy,2015
Portugal,5288.31,0.61,3617.78,0.78,1670.53,0.41,1947.25,182D1136 Index,136D1182 Index,Italy,2015
Egypt,5249.57,0.6,3045.29,0.66,2204.28,0.54,841.01,469D1136 Index,136D1469 Index,Italy,2015
Australia,5173.66,0.59,4614.47,1.0,559.19,0.14,4055.28,193D1136 Index,136D1193 Index,Italy,2015
Iraq,4803.18,0.55,1074.56,0.23,3728.62,0.91,-2654.06,433D1136 Index,136D1433 Index,Italy,2015
Bulgaria,4762.54,0.55,2209.44,0.48,2553.1,0.62,-343.66,918D1136 Index,136D1918 Index,Italy,2015
Vietnam,4404.08,0.51,1451.48,0.31,2952.6,0.72,-1501.12,582D1136 Index,136D1582 Index,Italy,2015
South Africa,4328.31,0.5,2372.91,0.51,1955.4,0.48,417.51,199D1136 Index,136D1199 Index,Italy,2015
Croatia,4258.21,0.49,2695.78,0.58,1562.43,0.38,1133.35,960D1136 Index,136D1960 Index,Italy,2015
Serbia,3931.72,0.45,1920.51,0.42,2011.21,0.49,-90.7,942D1136 Index,136D1942 Index,Italy,2015
Singapore,3819.47,0.44,3540.84,0.77,278.63,0.07,3262.21,576D1136 Index,136D1576 Index,Italy,2015
Kazakhstan,3762.43,0.43,1174.45,0.25,2587.98,0.63,-1413.53,916D1136 Index,136D1916 Index,Italy,2015
Indonesia,3580.86,0.41,1368.24,0.3,2212.62,0.54,-844.38,536D1136 Index,136D1536 Index,Italy,2015
Israel,3472.07,0.4,2490.4,0.54,981.67,0.24,1508.73,436D1136 Index,136D1436 Index,Italy,2015
Norway,3306.04,0.38,2292.13,0.5,1013.91,0.25,1278.22,142D1136 Index,136D1142 Index,Italy,2015
Ukraine,3290.05,0.38,976.6,0.21,2313.45,0.56,-1336.85,926D1136 Index,136D1926 Index,Italy,2015
Thailand,3266.38,0.37,1915.97,0.42,1350.41,0.33,565.56,578D1136 Index,136D1578 Index,Italy,2015
Qatar,2957.46,0.34,1451.04,0.31,1506.42,0.37,-55.38,453D1136 Index,136D1453 Index,Italy,2015
Finland,2947.18,0.34,1468.13,0.32,1479.05,0.36,-10.92,172D1136 Index,136D1172 Index,Italy,2015
Morocco,2921.32,0.34,2039.15,0.44,882.17,0.21,1156.98,686D1136 Index,136D1686 Index,Italy,2015
Chile,2396.22,0.27,1162.08,0.25,1234.14,0.3,-72.06,228D1136 Index,136D1228 Index,Italy,2015
Malaysia,2318.63,0.27,1330.1,0.29,988.53,0.24,341.57,548D1136 Index,136D1548 Index,Italy,2015
Argentina,2314.69,0.27,1370.06,0.3,944.63,0.23,425.43,213D1136 Index,136D1213 Index,Italy,2015
Albania,2207.9,0.25,1308.87,0.28,899.03,0.22,409.84,914D1136 Index,136D1914 Index,Italy,2015
Bangladesh,1844.62,0.21,413.81,0.09,1430.81,0.35,-1017.0,513D1136 Index,136D1513 Index,Italy,2015
Lithuania,1784.25,0.2,1275.25,0.28,509.0,0.12,766.25,946D1136 Index,136D1946 Index,Italy,2015
Malta,1758.37,0.2,1439.52,0.31,318.85,0.08,1120.68,181D1136 Index,136D1181 Index,Italy,2015
Bosnia and Herzegovina,1732.4,0.2,997.22,0.22,735.18,0.18,262.04,963D1136 Index,136D1963 Index,Italy,2015
Colombia,1635.02,0.19,823.7,0.18,811.32,0.2,12.38,233D1136 Index,136D1233 Index,Italy,2015
Luxembourg,1494.51,0.17,464.94,0.1,1029.57,0.25,-564.64,137D1136 Index,136D1137 Index,Italy,2015
Congo,1493.68,0.17,404.73,0.09,1088.95,0.27,-684.22,634D1136 Index,136D1634 Index,Italy,2015
Iran,1430.65,0.16,909.35,0.2,521.3,0.13,388.05,429D1136 Index,136D1429 Index,Italy,2015
Angola,1395.57,0.16,427.4,0.09,968.17,0.24,-540.77,614D1136 Index,136D1614 Index,Italy,2015
Lebanon,1389.77,0.16,1348.93,0.29,40.84,0.01,1308.09,446D1136 Index,136D1446 Index,Italy,2015
Nigeria,1372.76,0.16,496.33,0.11,876.43,0.21,-380.1,694D1136 Index,136D1694 Index,Italy,2015
Peru,1274.09,0.15,672.01,0.15,602.09,0.15,69.92,293D1136 Index,136D1293 Index,Italy,2015
Pakistan,1084.99,0.12,443.52,0.1,641.47,0.16,-197.95,564D1136 Index,136D1564 Index,Italy,2015
New Zealand,983.21,0.11,690.46,0.15,292.75,0.07,397.71,196D1136 Index,136D1196 Index,Italy,2015
Jordan,860.53,0.1,805.0,0.17,55.54,0.01,749.46,439D1136 Index,136D1439 Index,Italy,2015
Venezuela,805.52,0.09,656.04,0.14,149.48,0.04,506.56,299D1136 Index,136D1299 Index,Italy,2015
Belarus,766.32,0.09,641.15,0.14,125.17,0.03,515.97,913D1136 Index,136D1913 Index,Italy,2015
Philippines,738.54,0.08,468.12,0.1,270.42,0.07,197.7,566D1136 Index,136D1566 Index,Italy,2015
Macau,714.28,0.08,712.02,0.15,2.26,0.0,709.77,546D1136 Index,136D1546 Index,Italy,2015
Cote D Ivoire,704.98,0.08,367.59,0.08,337.39,0.08,30.2,662D1136 Index,136D1662 Index,Italy,2015
Ecuador,688.99,0.08,343.77,0.07,345.22,0.08,-1.45,248D1136 Index,136D1248 Index,Italy,2015
Oman,684.23,0.08,599.1,0.13,85.13,0.02,513.98,449D1136 Index,136D1449 Index,Italy,2015
Ethiopia,663.86,0.08,599.27,0.13,64.59,0.02,534.68,644D1136 Index,136D1644 Index,Italy,2015
Latvia,656.61,0.08,539.15,0.12,117.46,0.03,421.69,941D1136 Index,136D1941 Index,Italy,2015
Ghana,640.29,0.07,258.41,0.06,381.87,0.09,-123.46,652D1136 Index,136D1652 Index,Italy,2015
Sri Lanka,615.91,0.07,209.62,0.05,406.3,0.1,-196.68,524D1136 Index,136D1524 Index,Italy,2015
Gabon,604.28,0.07,84.01,0.02,520.27,0.13,-436.26,646D1136 Index,136D1646 Index,Italy,2015
Macedonia,596.1,0.07,390.48,0.08,205.62,0.05,184.86,962D1136 Index,136D1962 Index,Italy,2015
Kuwait,566.05,0.06,360.93,0.08,205.12,0.05,155.81,443D1136 Index,136D1443 Index,Italy,2015
Cyprus,560.61,0.06,473.0,0.1,87.62,0.02,385.38,423D1136 Index,136D1423 Index,Italy,2015
Estonia,518.79,0.06,368.43,0.08,150.36,0.04,218.07,939D1136 Index,136D1939 Index,Italy,2015
Moldova,514.42,0.06,279.16,0.06,235.26,0.06,43.9,921D1136 Index,136D1921 Index,Italy,2015
Mozambique,461.4,0.05,64.26,0.01,397.14,0.1,-332.88,688D1136 Index,136D1688 Index,Italy,2015
Uruguay,460.65,0.05,159.51,0.03,301.14,0.07,-141.62,298D1136 Index,136D1298 Index,Italy,2015
Cuba,454.24,0.05,429.66,0.09,24.58,0.01,405.08,928D1136 Index,136D1928 Index,Italy,2015
Costa Rica,447.29,0.05,179.29,0.04,268.0,0.07,-88.71,238D1136 Index,136D1238 Index,Italy,2015
Turkmenistan,429.95,0.05,247.36,0.05,182.59,0.04,64.78,925D1136 Index,136D1925 Index,Italy,2015
Paraguay,414.95,0.05,77.48,0.02,337.47,0.08,-259.98,288D1136 Index,136D1288 Index,Italy,2015
Bahrain,408.07,0.05,320.11,0.07,87.95,0.02,232.16,419D1136 Index,136D1419 Index,Italy,2015
Dominican Republic,395.85,0.05,360.04,0.08,35.8,0.01,324.24,243D1136 Index,136D1243 Index,Italy,2015
Cambodia,367.06,0.04,35.93,0.01,331.13,0.08,-295.19,522D1136 Index,136D1522 Index,Italy,2015
Cameroon,358.23,0.04,126.57,0.03,231.66,0.06,-105.1,622D1136 Index,136D1622 Index,Italy,2015
Georgia,355.71,0.04,197.66,0.04,158.05,0.04,39.61,915D1136 Index,136D1915 Index,Italy,2015
Kenya,330.97,0.04,231.35,0.05,99.62,0.02,131.73,664D1136 Index,136D1664 Index,Italy,2015
Equatorial Guinea,319.31,0.04,47.6,0.01,271.72,0.07,-224.12,642D1136 Index,136D1642 Index,Italy,2015
Panama,301.55,0.03,271.47,0.06,30.08,0.01,241.39,283D1136 Index,136D1283 Index,Italy,2015
Bolivia,253.19,0.03,175.89,0.04,77.3,0.02,98.58,218D1136 Index,136D1218 Index,Italy,2015
